WKT,SA22019_V1_00,SA22019_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,Shape_X,Shape_Y
"POINT (1697141.44985 6084114.97505)",104600,Kawakawa,1.73142636,1.73142636,-35.38157867603797,174.06951266202447,1697141.4498385668,6084114.975031422,1697141.44985,6084114.97505
"POINT (1703541.1344 6073319.20305)",104700,Maromaku,238.33524518,238.33524518,-35.478258463122664,174.1413326430773,1703541.1344047477,6073319.203054928,1703541.1344,6073319.20305
"POINT (1690731.32665 6054072.56465)",104800,Mangakahia-Hukerenui,658.52901342,658.52901342,-35.65302378233257,174.0023095257615,1690731.3266382678,6054072.564631275,1690731.32665,6054072.56465
"POINT (1721322.8107 6071828.6137)",104900,Whangaruru,469.34033021,469.34033021,-35.489682409516305,174.33751826891518,1721322.8107000238,6071828.613687896,1721322.8107,6071828.6137
"POINT (1727993.5357 6072309.0854)",105000,Inlets other Whangarei District,0,39.02841125,-35.4845139747057,174.4109642777777,1727993.535723794,6072309.085406846,1727993.5357,6072309.0854
"POINT (1710082.692 6051189.5295)",105100,Matarau,108.38424099,108.38424099,-35.67704401432921,174.21643906958812,1710082.6919974403,6051189.529513503,1710082.692,6051189.5295
"POINT (1716603.02045 6060265.3993)",105200,Hikurangi,4.00025011,4.00025011,-35.5944827982156,174.28716175127144,1716603.020461048,6060265.399290877,1716603.02045,6060265.3993
"POINT (1716506.55235 6056388.26)",105300,Kauri,56.10398788,56.10398788,-35.62944366227408,174.2866567138298,1716506.5523380868,6056388.260004953,1716506.55235,6056388.26
"POINT (1704387.97855 6041826.6612)",105400,Maungatapere,174.48592265,174.48592265,-35.76206517525566,174.15474023436718,1704387.978542425,6041826.661183725,1704387.97855,6041826.6612
"POINT (1717209.42505 6051872.65075)",105500,Kamo West,4.49938134,4.49938134,-35.6700649473917,174.29507414651164,1717209.4250249527,6051872.650764317,1717209.42505,6051872.65075
"POINT (1733895.8588 6059638.8584)",105600,Matapouri-Tutukaka,78.48143783,78.48143783,-35.5979404834355,174.47810527573066,1733895.8588121547,6059638.858413257,1733895.8588,6059638.8584
"POINT (1727002.56295 6054324.62555)",105700,Kiripaka,72.06318734,72.06318734,-35.64675117055594,174.40286620494288,1727002.562936022,6054324.625541234,1727002.56295,6054324.62555
"POINT (1718531.5394 6051033.30685)",105800,Kamo East,1.42717944,1.42717944,-35.677472861764585,174.30980272716712,1718531.5394118761,6051033.306855821,1718531.5394,6051033.30685
"POINT (1717178.6147 6049644.80465)",105900,Granfield Reserve,1.66092061,1.66092061,-35.690150670919365,174.2950582984195,1717178.614688057,6049644.804669862,1717178.6147,6049644.80465
"POINT (1718050.2643 6050382.7205)",106000,Kamo Central,1.09354447,1.09354447,-35.6833950327445,174.30458122483554,1718050.2642789993,6050382.7205245085,1718050.2643,6050382.7205
"POINT (1717223.7721 6047974.52745)",106100,Whau Valley,7.17969858,7.17969858,-35.70520132480342,174.29580085864575,1717223.772121596,6047974.527471474,1717223.7721,6047974.52745
"POINT (1719725.1743 6050642.4906)",106200,Tikipunga North,2.74100136,2.74100136,-35.68085148572332,174.3230477136952,1719725.1742917348,6050642.490603988,1719725.1743,6050642.4906
"POINT (1713476.10915 6043447.6021)",106300,Pukenui,19.19089358,19.19089358,-35.74644672055589,174.25502293622,1713476.1091522544,6043447.6020807745,1713476.10915,6043447.6021
"POINT (1719222.6563 6049268.44965)",106400,Otangarei,1.03952917,1.03952917,-35.693298014962465,174.3176995538715,1719222.656313866,6049268.449672666,1719222.6563,6049268.44965
"POINT (1720484.3575 6049109.504)",106500,Tikipunga South,2.74034795,2.74034795,-35.69457730575285,174.3316648780746,1720484.3574942092,6049109.504016027,1720484.3575,6049109.504
"POINT (1718898.24925 6047225.0666)",106600,Kensington (Whangarei District),3.11258422,3.11258422,-35.71175628709875,174.314417251606,1718898.2492559615,6047225.066590558,1718898.24925,6047225.0666
"POINT (1723144.8103 6048028.61365)",106700,Abbey Caves-Glenbervie,32.11747652,32.11747652,-35.7039914310504,174.36122804707205,1723144.8102965392,6048028.613657376,1723144.8103,6048028.61365
"POINT (1719803.5388 6048016.56665)",106800,Mairtown,0.94349562,0.94349562,-35.7045120233376,174.32430478642166,1719803.5388126299,6048016.566673106,1719803.5388,6048016.56665
"POINT (1716685.18155 6044390.8216)",106900,Maunu-Horahora,4.29878303,4.29878303,-35.737569047601255,174.290369448264,1716685.1815273336,6044390.821591333,1716685.18155,6044390.8216
"POINT (1718435.64145 6045536.25965)",107000,Woodhill-Vinetown,1.38514518,1.38514518,-35.72703494109735,174.3095534412646,1718435.6414527087,6045536.259646729,1718435.64145,6045536.25965
"POINT (1719767.9468 6045487.59715)",107100,Whangarei Central,2.81252363,2.81252363,-35.72731237296735,174.32428861584486,1719767.9467918824,6045487.597174468,1719767.9468,6045487.59715
"POINT (1721158.7014 6045615.08095)",107200,Riverside,3.50758706,3.50758706,-35.725993043172096,174.33964336898197,1721158.701395932,6045615.080930918,1721158.7014,6045615.08095
"POINT (1717540.80035 6042818.28245)",107300,Raumanga,3.46030356,3.46030356,-35.75164207640192,174.3000596741479,1717540.8003708478,6042818.282458227,1717540.80035,6042818.28245
"POINT (1718367.10995 6043895.66515)",107400,Tarewa,0.94068456,0.94068456,-35.74183147725024,174.30903789600214,1718367.1099458786,6043895.665157842,1718367.10995,6043895.66515
"POINT (1719371.8296 6044486.2053)",107500,Morningside (Whangarei District),1.2022607,1.2022607,-35.73638698604346,174.32005871315636,1719371.829584878,6044486.205318586,1719371.8296,6044486.2053
"POINT (1736428.2438 6056163.934)",107600,Ngunguru,3.56520869,3.56520869,-35.62891528447751,174.50663960093704,1736428.2437785387,6056163.933980433,1736428.2438,6056163.934
"POINT (1716274.799 6038889.25465)",107700,Otaika-Portland,41.50956018,41.50956018,-35.78720888150624,174.28663063759706,1716274.7990178892,6038889.2546618,1716274.799,6038889.25465
"POINT (1709737.68235 6026916.17515)",107800,Oakleigh-Mangapai,323.77676213,323.77676213,-35.895888182098915,174.21595596296513,1709737.6823490087,6026916.175172389,1709737.68235,6026916.17515
"POINT (1720319.5108 6043043.76735)",107900,Port-Limeburners,7.41160663,7.41160663,-35.74927354202177,174.33075240818485,1720319.5108070376,6043043.767354684,1720319.5108,6043043.76735
"POINT (1733271.6196 6046304.6466)",108000,Pataua,128.58470963,128.58470963,-35.71821235278818,174.47342272348035,1733271.619596398,6046304.646592561,1733271.6196,6046304.6466
